"March 27, 2017",5,Great phone for the price,"I've bought my Motto G5 Plus 64 GB on Friday the 24th, and in my opinion its great improvement from the Moto G4 Plus 64 GB as it does not heat up and the updated fingerprint sensor is an improvement. The screen is smaller, but I can live with it. I would recommend this phone to my family and friends that do not want to spend big bucks on a cell phone and get a good one for $299 which I believe is worth it."
"April 6, 2017",4,Beats even the high dollar flagship phones,"The Moto-G line has always been awesome in my opinion. The Moto G4 was by far the best phone I had ever owned because of its barebone performance. The Moto g5 plus though enters a whole new realm of performance, power, and battery life. This phone has the same camera as the Samsung S7 Active, runs an 8 core CPU that clocks higher than many of today's laptops. I've been an IT professional all of my working career and this pocket computer packs in 4gb of ram, which essentially is about the same amount of ram that most office PCs use. Overall I have zero complaints about the Moto g5 when it comes to specs and performance.. I run most of my graphics design and graphics editing applications right from my phone without a single hiccup yet can make 2 full days of constant usage on a single batter charge. I am disappointed in Lenovo for discontinuing the Moto waterproof features and only offering water repellant features, there's no reason for this nonsense. Aside from that I only have one true complaint and it has nothing to do with the Moto G5s capabilities. Lenovo marketed the G5 as a metal device, but that claim is false. The back is metal, not the whole frame."
"April 2, 2017",5,Excellent phone so far. Great value.,"I have been very happy with the first 2 days on this phone. Phone seems quick to respond and has all the capability that I expect. It is an upgrade from my 1 1/2 year old Samsung S5. I had a S7 for a while before having to go back to a S5 and it seems to be as fast as I remember that phone. I went with the 64GB version to also get the 4GB RAM. I don't know if that makes much of at difference but this combination is working fast and was very fast when transferring data from my old phone or cloud backups. 64GB also lets me put on just about any app I want for a while.

It has been an easy transition to the features of Moto. I originally thought the fingerprint scanner was in a terrible spot but it turns out to be very easy to use it there and I use it instead of the pattern to turn on the phone. I also thought they were wasting real estate with the back and home buttons on the screen but you can select to use the fingerprint button for swiping to replace the on screen buttons to go back, home or see open items and gain back the screen real estate. It is actually easier to use than finding the buttons on the screen.

Battery life seems reasonable so far but time will tell. It is at 80% after 7 hours of use today with a lot of data moving via wifi but no phone call usage. It went down further yesterday but with more phone usage and not all wifi. I'm hoping that the battery life turns out OK. It does charge fast.

Phone worked immediately on ATT by just moving the SIM card from my old phone. No issues on hookup. 

Negatives vs Samsung's: no wireless charging and not water proof.
Positives: Performance is good, a lot less expensive and unlocked."
"April 4, 2017",5,A phone similar to the HTC M9 below half the price,"Gone are the days where you need spend $750 for a top of the line phone.

Granted the HTC M9 came out over a year ago. So in that sense it is not a fair comparison. Yes the HTC M9 has NFC, which this phone does not. But beyond that, pretty similar. Same screen resolution. 4GB of RAM instead of 3GB. The camera on the M9 is more MP but the overall quality of the cameras is similar.

The point I'm trying to make is that waiting nearly 2 years gives you a very comparable phone at below half the cost. The Moto G5 Plus runs smoothly and has a sharp looking screen. This phone would have been among the top of the line in 2015. And it is not priced anywhere close to top of the line.

Great value for a very good phone."
"April 12, 2017",5,Great phone at this price!,"I purchased this phone at Best Buy store on 4/09. Had it activated at Verizon corporate store on Monday-literally took the man 10 minutes and I was out the door with everything working great! Excellent battery life I left everything on(sync,Bluetooth,data,brightness at half)streamed music at work for 8 hrs,surfed internet(including videos) about 4 hrs,a few calls and texts,and still had over 30 percent battery at 10pm(started at 6am)! Great screen,snappy performance,love the Moto functions especially the twist for camera! The fingerprint scanner has worked flawlessly- I set mine up for both thumbs and 1 index finger and set scanner to replace on screen buttons-what a great idea! The camera is good- I'd say above average. Call quality is very good as is signal strength- both data and call. Bluetooth works perfect- hooked right up to my Chevy truck and my headphones. In my opinion, anyone looking for a smartphone for 300 bucks and under should absolutely check this phone out!"
"April 10, 2017",2,Major bug causes choppy audio on Verizon,"The phone is a great value in terms of build and performance. However, it is suffering from a major flaw for some folks who buy the unlocked version and use it on the Verizon network. Call reception becomes choppy to the point that the phone is not useable as a phone. This happens even when reception is outstanding; the other party can hear you fine - you just can't hear them. The issue is documented in a couple of places on the Lenovo forums, and I am hopeful that a fix will happen in the next couple of days, or I am taking the phone back (for the second time - thought it was a hardware issue at first and got a replacement). A reboot makes the problem go away for a little while, but it always comes back. I've tried booting into safe mode to prevent IRQ conflicts, but to no avail. Bottom line is that right now it doesn't work on Verizon for all people as a phone, so I'd look at something else till the issues are fixed. It's a relatively new phone, so maybe that will happen."
"April 8, 2017",4,Great phone overall but...,"It does of course have it weaknesses. The biggest one I believe is the screen. It isn't the brightest, while the colors seemed pretty good. They were also quite muted and dull. Also it isn't the brightest screen. The cellular reception is great but WiFi reception is not the greatest but not the worst. The battery is amazing and the speed of the UI is great. Definitely better than the Axon 7 mini and even the Honor 8. Especially since it works on all carriers and even has T-Mobile WiFi calling out of the box! Great phone but has weaknesses like all."
"April 4, 2017",4,Moto continues to shine with the G5 Plus,"I think Moto has hit it stride with offering cost effective unlocked phones. They can't compete with the likes of Samsung or Apple anymore when it comes to features integration and marketing. What they're doing right is offering the G series and the G5 Plus is a fantastic phone for $300. 

The phone snappy and does exactly what I want it to do, the screen is still a tad darker than what I'd like, I've been spoiled with Samsungs AMOLED. That doesn't take away from doing any tasking, gaming, or streaming. 

Jumping back and forth between apps, including YouTube and Twitch, I never ran into any bogging down. And as a mechanic who might randomly need to use the flashlight, having the Moto gestures in place with this phone is a pleasant welcome. By simply shaking the phone twice you can turn on the flashlight or flicking your wrist twice- the camera comes up. You don't have to wrestle with the screen if you're wearing work gloves

The camera is decent, it's not great, you'll find the auto focus isn't quick enough and there's a lot of blur if you move. However it's better than any phone within its price range. 

It still used micro USB for charging and syncing. While we all have dozens of these cables in a drawer, it's time they commit 100% to USB Type-C. It's faster, more reliable and future proof.

I expected the screen and camera to function for a $300 phone but because it's still using a micro, it's getting a 4/5."
"November 4, 2017",4,A 5 star phone that's been crippled to a 4.,"For what you get this is an amazing phone - at less than half the price of flagship phones you get 90% of the speed, screen, ram, and memory expandability. However A FEW FEATURES HAVE BEEN CRIPPLED AND THAT'S UNDERREPORTED AND YOU SHOULD KNOW THEM - the features are actually there they have just been deactivated and I hate when manufacturers and providers actually put the cost into the device and then just turn it off. Moto did two ""no-no's"" and my carrier AT&T;'s is responsible for one. You should know about them because they could be deal breakers for you. #1 THERE IS NO WIFI CALLING ON AT&T.; That's it, they claim the device doesn't support it, but that's fake news from what I can tell being that other carriers do have it, but if that's important to you you should check with your carrier - I can only vouch 100% that AT&T; doesn't let this phone on for Wi-Fi calling. #2 There is no notification light.. well there is, but it has been disabled for the notification screen feature. That's nice, but not as easy as just looking at your screen for a blinking light, you actually have to nudge the unit and the screen will briefly turn on to reveal if there are messages. If you root the device I read that it can be turned on, but I haven't done it. #3 No NFC, so if you want to use Android Pay forget it, they mention it somewhere, but I think it mentions mentioning it again - because also from reading, the radio is there, but it has been disabled.

If those aren't deal breakers and you want an awesome phone that looks great in bright light, takes nice pictures, and is fast with plenty of space for your stuff and will get an update to 8 reportedly, then I would buy this unit, just know the shortcomings."
"April 10, 2017",4,Great phone for a lesser price,"I preordered this phone a week ago and so far it works great. It is TMobile LTE compatible. I preordered it because I felt it had great hardware specifications. I was planning on buying the OnePlus 3T phone but it was over my budget. I have been loving this phone so far and donot have complains with it. The screen size is perfect for me. Many people mentioned how they don't love look of the phone, but it seems pretty decent except for the camera bump which I feel is just fine. The one thing that I miss is the quality of the pictures. It does have great specs on the camera, but the actual picture quality is not a 100% natural. I would not call it substandard, but I expected better. I like the front camera though. Overall, I feel its great value for the money and unless you want a phone which takes the very best pictures and videos, the rest of the phone is just a perfect buy if you want to go for an android. It is better than spending double the money on phones with slightly better specs."
